Day,Brewery,Event,Title,Details,Time,Logo,Event Photo,Instagram,Twitter,Facebook,Address
Thursday,SKYDANCE BREWING,ACOUSTIC NIGHT,Skydance's Acoustic Night,"Enjoy a beer and great acoustic music. Dogs, kids, and outside food are always welcome.",7:00-10:00pm,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1pM3NKN9gErjG_jShn3OGpz-WbGiAHfBl/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
Friday,BEER IS GOOD BREWING,NORMAN ARTWALK,BIG's Norman Artwalk,2nd Friday Norman Art Walk is a free celebration of arts & creativity held monthly from 6 to 9 p.m. in the Walker Arts District of Downtown Norman.,6:00-9:00pm (2nd Friday),https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://drive.google.com/file/d/1UpvfEGYvyfyQJd1jc3KDiIUyzaM4FeUM/view?usp=sharing,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Friday,FRENZY BREWING,HAPPY HOUR,Frenzy's Happy Hour,$5 pints until 6pm.,Open-6pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/1_ICiiDqXjqMLrtSGIylN8aeZsd_byxIy/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Friday,FRENZY BREWING,Live Music Check Special Events Tab,Frenzy's Taproom Tones,Enjoy a Frenzy brew and listen to local live music. Each Friday features a different musician.,7:00-10:00pm,https://drive.google.com/file/d/1Lh2DRuaPXEnNWC8jTNyN8VuHypdSWrDn/view?usp=share_link,https://drive.google.com/file/d/15Sx55yVTASsY7YN5gWnf9prbCw58PI7N/view?usp=share_link,https://www.instagram.com/frenzybrewing,https://twitter.com/frenzybrewing,https://www.facebook.com/FrenzyBrewing,"15 S. Broadway, Edmond, OK 73034"
Friday,LIVELY BEERWORKS,PAN Y CARNITAS MONARCA,Pan y Carnitas Monarca,"Pan y Carnitas Monarca is in the taproom with the most delicious tacos, tamales, salsas, cookies and snacks! Try a tropical Mexican Lager to wash it down!",Noon-6:00pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/1VeDX50bKZFG0R_18Jz4Mn9s7TJnNXHHT/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Friday,LIVELY BEERWORKS,SINGO + Karaoke,Lively's SINGO + Karaoke,"Play SINGO, win prizes, and sing your heart out!",7:00pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/1bEoeeYN2yA8g7EIfqVKsHDHXPBg9O7N2/view?usp=drive_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Friday,SKYDANCE BREWING,NEW BEER RELEASE,Skydance's New Beer Release,Skydance releases a new beer EVERY Friday. Stop in and check out what's on tap this week! - Check our social media to discover the beer being released.,12:00 PM - Close,https://drive.google.com/file/d/1AjHQIYpgplZSva_UvcrG5GE2gzlbhyKH/view?usp=share_link,https://drive.google.com/file/d/1Ud2K5_QVvCMuHGM7KPAqCKThUPIm0__z/view?usp=share_link,https://www.instagram.com/skydancebrewing/,https://twitter.com/SkydanceBrewing,https://www.facebook.com/SkydanceBrewing,"1 NE 7th Street, Suite A, OKC, OK 73104"
Saturday,LIVELY BEERWORKS,5K BEER RUN,Lively's Saturday 5k Beer Run,"Every Saturday at noon Lively will be hosting a free 5k, and participants will receive a free pour of Lively Light after!

The run starts at the brewery at noon and goes down to Scissortail Park and Myriad Gardens and back. Check in with the bartender to get signed in and then either run with the group or on your own- route maps are available!

Must be 21 to claim beer, please run at your own risk.",12:00pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/14zSVQ5iJMDjJdcxHa3EnUMZzTI1fFJhM/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
Sunday,BEER IS GOOD BREWING,BRUNCHTAILS,BIG's Brunchtails,"Come enjoy $5 Beermosas, Micheladas, and Mimosas every Sunday!!",10am-3pm,https://drive.google.com/file/d/1qgaqiRSOhtNYJ25tDWjqfS2RF5s5uMsp/view?usp=share_link,https://drive.google.com/file/d/1NqIZShLso5D5hJPMc7I-RM1gBoIPZTTi/view?usp=share_link,https://www.instagram.com/bigbrewco/,,https://www.facebook.com/BIGbrewco,"216 E. Main St., Norman, OK 73069"
Sunday,LIVELY BEERWORKS,BRUNCH,Lively's Sunday Brunch,Plantdad's Kitchen Vegan Brunch + Lively brews,11:00am-2:00pm,https://drive.google.com/file/d/1i6oQq1qLf7_mhhniwcvIYGbvzi6XbSDT/view?usp=share_link,https://drive.google.com/file/d/17GK_YzlI2-mdkB-e6oM3DEHaUX_nC6P_/view?usp=share_link,https://www.instagram.com/livelybeerworks/,https://twitter.com/LivelyBeerworks,https://www.facebook.com/livelybeerworks/,"815 SW 2nd St., OKC, OK 73109"
